order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000001,CUST0038,PROD051,2,328828.13,failed,UPI,Hyderabad,2026-05-01 14:52:00
ORD000002,CUST0029,PROD043,1,399297.21,pending,Net Banking,Mumbai,2026-05-01 12:08:00
ORD000003,CUST0005,PROD012,1,294508.69,completed,Net Banking,Kolkata,2026-05-01 19:50:00
ORD000004,CUST0093,PROD033,1,224247.95,completed,Debit Card,Jaipur,2026-05-01 11:47:00
ORD000005,CUST0169,PROD034,1,391656.85,completed,UPI,Mumbai,2026-05-01 15:39:00
ORD000006,CUST0126,PROD046,1,343111.53,failed,UPI,Delhi,2026-05-01 23:54:00
ORD000007,CUST0160,PROD041,1,63270.56,completed,Credit Card,Kolkata,2026-05-01 18:38:00
ORD000008,CUST0180,PROD008,1,215213.62,pending,EMI,Chennai,2026-05-01 17:29:00
ORD000009,CUST0117,PROD026,2,414048.05,completed,UPI,Pune,2026-05-01 21:28:00
ORD000010,CUST0040,PROD044,1,187275.65,failed,UPI,Delhi,2026-05-01 21:20:00
ORD000011,CUST0096,PROD009,1,372345.57,completed,EMI,Jaipur,2026-05-01 10:05:00
ORD000012,CUST0171,PROD049,1,176928.32,completed,UPI,Hyderabad,2026-05-01 18:42:00
ORD000013,CUST0040,PROD043,1,253804.79,completed,UPI,Pune,2026-05-01 17:22:00
ORD000014,CUST0110,PROD036,1,287135.18,returned,EMI,Surat,2026-05-01 19:07:00
ORD000015,CUST0069,PROD002,2,829529.01,completed,Credit Card,Pune,2026-05-01 08:38:00
ORD000016,CUST0169,PROD026,1,71797.09,completed,UPI,Delhi,2026-05-01 19:00:00
ORD000017,CUST0095,PROD020,1,170579.81,completed,EMI,Surat,2026-05-01 14:24:00
ORD000018,CUST0159,PROD004,1,78873.47,completed,Credit Card,Ahmedabad,2026-05-01 10:56:00
ORD000019,CUST0056,PROD049,1,207209.03,completed,Credit Card,Kolkata,2026-05-01 21:31:00
ORD000020,CUST0135,PROD043,1,296648.5,completed,Net Banking,Kolkata,2026-05-01 11:18:00
ORD000021,CUST0197,PROD009,1,472672.98,completed,Credit Card,Pune,2026-05-01 09:00:00
ORD000022,CUST0034,PROD025,1,215441.37,completed,Net Banking,Jaipur,2026-05-01 11:00:00
